,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
374,Newport,51.59,-3.0,15.0,97,100,0.89,GB,1600850659
375,Devarkonda,16.7,78.93,30.2,66,57,7.89,IN,1600850659
376,Mount Isa,-20.73,139.5,28.0,21,1,6.2,AU,1600850659
377,Bairiki Village,1.33,172.98,28.0,74,20,4.1,KI,1600850659
378,Saldanha,-33.01,17.94,17.0,67,1,2.1,ZA,1600850660
379,Port Elizabeth,-33.92,25.57,21.0,49,42,1.0,ZA,1600850660
380,Acapulco de Juárez,16.86,-99.89,25.91,79,49,2.14,MX,1600850660
381,Meulaboh,4.14,96.13,25.27,90,100,2.91,ID,1600850660
382,Panalingaan,8.78,117.42,29.13,74,96,3.01,PH,1600850660
383,Hastings,50.86,0.57,17.78,81,100,2.24,GB,1600850660
384,Markivka,49.52,39.57,23.65,27,35,1.1,UA,1600850661
385,Neiafu,-18.65,-173.98,23.44,79,49,4.28,TO,1600850661
386,Chiredzi,-21.05,31.67,24.96,39,15,3.57,ZW,1600850661
387,Ahipara,-35.17,173.17,14.74,89,75,4.4,NZ,1600850661
388,Yārāda,17.65,83.27,32.0,66,75,4.1,IN,1600850661
389,Rāzampeta,14.18,79.17,33.0,49,40,8.2,IN,1600850662
390,Fare,-16.7,-151.02,26.42,79,28,7.86,PF,1600850662
391,Evensk,61.95,159.23,2.41,80,4,1.28,RU,1600850662
392,Shimoda,34.67,138.95,23.0,83,75,13.9,JP,1600850662
393,Muisne,0.6,-80.03,22.58,85,100,4.46,EC,1600850662
394,Itarema,-2.92,-39.92,24.01,82,5,6.26,BR,1600850662
395,Makīnsk,52.63,70.42,7.92,88,100,11.9,KZ,1600850663
396,Juneau,58.3,-134.42,10.0,93,90,1.5,US,1600850663
397,Borodianka,50.64,29.92,20.56,37,0,3.0,UA,1600850663
398,Davenda,53.56,119.32,7.52,90,100,5.13,RU,1600850663
399,Salisbury,51.07,-1.8,15.56,100,90,4.6,GB,1600850663
400,San Quintín,30.48,-115.95,21.02,75,0,4.31,MX,1600850663
401,Aykhal,66.0,111.5,14.0,35,0,5.0,RU,1600850664
402,Zhob,31.34,69.45,30.44,9,0,1.3,PK,1600850664
403,Charters Towers,-20.1,146.27,24.25,69,91,5.02,AU,1600850664
404,Meybod,32.25,54.02,30.0,19,0,3.1,IR,1600850664
405,Khorixas,-20.37,14.97,32.76,11,19,2.13,NA,1600850664
406,Santana,-0.06,-51.18,24.0,100,20,2.1,BR,1600850664
407,Port Hardy,50.7,-127.42,14.0,87,75,12.3,CA,1600850665
408,Kutoarjo,-7.72,109.91,31.11,55,61,3.71,ID,1600850665
409,Zyryanka,65.75,150.85,5.13,85,95,2.52,RU,1600850665
410,Sibolga,1.74,98.78,26.18,84,100,1.87,ID,1600850665
411,Gadung,6.8,124.02,28.99,69,60,1.15,PH,1600850665
412,Bjelovar,45.9,16.85,21.67,82,20,1.0,HR,1600850665
413,Øksfjord,70.24,22.35,9.0,57,90,4.6,NO,1600850666
414,Grindavik,63.84,-22.43,3.0,77,75,10.8,IS,1600850666
415,Bestöbe,52.5,73.1,8.9,76,100,13.88,KZ,1600850666
416,Janów Lubelski,50.71,22.41,22.22,57,0,1.34,PL,1600850666
417,Sovetskiy,61.36,63.58,6.7,89,100,3.89,RU,1600850666
418,Manaus,-3.1,-60.02,26.0,88,75,2.1,BR,1600850666
419,Geraldton,-28.77,114.6,31.0,10,0,5.7,AU,1600850667
420,Upernavik,72.79,-56.15,-3.77,92,0,3.27,GL,1600850667
421,Ulladulla,-35.35,150.47,16.11,44,17,6.2,AU,1600850667
422,Sola,-13.88,167.55,26.12,82,60,9.04,VU,1600850667
423,Corner Brook,48.97,-57.95,15.0,93,90,5.1,CA,1600850667
424,Harlingen,26.19,-97.7,25.0,94,1,2.6,US,1600850667
425,Tura,25.52,90.22,24.66,96,100,1.77,IN,1600850668
426,Rodas,22.34,-80.56,23.0,94,75,6.7,CU,1600850668
427,Chapais,49.78,-74.85,13.0,87,90,2.6,CA,1600850668
428,Vargashi,55.36,65.85,9.44,64,38,11.47,RU,1600850668
429,Roncade,45.63,12.37,19.0,88,40,0.5,IT,1600850668
430,São João da Barra,-21.64,-41.05,20.11,89,100,8.0,BR,1600850446
431,Labuhan,-6.88,112.21,29.8,68,70,4.49,ID,1600850669
432,Lodwar,3.12,35.6,33.73,30,53,5.71,KE,1600850381
433,Imbituba,-28.24,-48.67,16.0,77,75,2.6,BR,1600850669
434,Paphos,34.77,32.42,29.44,66,20,6.2,CY,1600850540
435,Torbay,47.67,-52.73,16.11,100,90,10.8,CA,1600850669
436,Sosnovka,56.26,51.28,13.49,51,100,6.63,RU,1600850669
437,Katsuura,35.13,140.3,23.0,88,75,5.1,JP,1600850669
438,Metu,8.3,35.58,15.93,99,100,0.5,ET,1600850670
439,Mendi,-6.18,143.65,14.27,100,100,0.4,PG,1600850670
440,Half Moon Bay,37.46,-122.43,17.0,59,1,1.5,US,1600850670
441,Codroipo,45.96,12.98,20.0,82,75,2.1,IT,1600850670
442,Kahului,20.89,-156.47,26.0,61,1,3.6,US,1600850670
443,Orocué,4.79,-71.34,24.36,90,98,1.53,CO,1600850671
444,Gīdam,18.98,81.4,28.47,81,52,3.74,IN,1600850671
445,Buraidah,26.33,43.98,37.0,19,0,4.1,SA,1600850671
446,Zhangaözen,43.3,52.8,22.77,23,0,1.53,KZ,1600850671
447,Vostok,46.49,135.88,8.72,94,47,0.88,RU,1600850671
448,Esterhazy,50.65,-102.08,11.65,77,100,2.56,CA,1600850671
449,Piaçabuçu,-10.41,-36.43,24.14,79,94,4.48,BR,1600850672
450,Jaraguá do Sul,-26.49,-49.07,16.11,10,98,0.7,BR,1600850672
451,Kyzyl-Suu,42.34,78.0,16.11,41,42,3.02,KG,1600850672
452,Ust-Kuyga,70.02,135.6,5.5,72,28,1.11,RU,1600850672
453,Haines Junction,60.75,-137.51,4.91,83,100,1.18,CA,1600850672
454,Thinadhoo,0.53,72.93,28.4,62,99,2.7,MV,1600850672
455,Lagan,45.39,47.37,21.33,49,0,4.13,RU,1600850673
456,Sept-Îles,50.2,-66.38,6.67,93,75,1.0,CA,1600850522
457,Ndendé,-2.4,11.36,28.32,65,92,0.94,GA,1600850673
458,Tungor,53.38,142.96,8.26,82,0,2.12,RU,1600850673
459,Padang,-0.95,100.35,27.58,76,90,3.15,ID,1600850673
460,Nanyuki,0.02,37.07,23.34,45,22,4.67,KE,1600850673
461,Micheweni,-4.97,39.83,27.54,66,55,5.45,TZ,1600850674
462,Ancud,-41.87,-73.82,6.67,89,25,2.69,CL,1600850674
463,Arkhangelsk,64.54,40.54,11.0,62,40,5.0,RU,1600850674
464,Pevek,69.7,170.31,2.8,94,100,6.14,RU,1600850674
465,Raton,36.9,-104.44,10.56,70,1,3.6,US,1600850674
466,Aranos,-24.13,19.12,31.02,19,0,7.61,NA,1600850674
467,Bambanglipuro,-7.95,110.28,31.11,55,32,5.29,ID,1600850675
468,Porto Walter,-8.27,-72.74,21.39,98,68,1.27,BR,1600850675
469,Seoul,37.57,126.98,23.0,46,90,1.5,KR,1600850675
470,Hūn,29.13,15.95,32.23,22,0,3.32,LY,1600850675
471,Temple,31.1,-97.34,20.56,100,90,3.1,US,1600850676
472,Salym,60.06,71.48,5.49,85,100,5.51,RU,1600850676
473,Pilar,-9.6,-35.96,20.0,100,20,1.0,BR,1600850676
474,Tombouctou,20.0,-3.0,34.78,31,0,4.92,ML,1600850676
475,Fairmont,39.49,-80.14,8.89,94,0,1.54,US,1600850605
476,Bragança,-1.05,-46.77,22.85,92,100,1.29,BR,1600850677
477,Maiduguri,11.85,13.16,31.37,51,69,4.59,NG,1600850677
478,Koslan,63.46,48.9,9.48,59,22,6.86,RU,1600850677
479,Mwanga,-4.8,38.2,25.0,64,95,2.34,TZ,1600850677
480,Flinders,-34.58,150.86,18.89,40,25,1.79,AU,1600850677
481,Chato,-2.64,31.77,28.42,37,8,3.12,TZ,1600850678
482,Nanton,50.35,-113.77,6.11,86,0,1.71,CA,1600850678
483,Roald,62.58,6.13,9.44,87,75,8.2,NO,1600850678
484,Mahajanga,-15.72,46.32,32.0,31,0,5.7,MG,1600850678
485,Macapá,0.04,-51.07,24.0,100,20,2.1,BR,1600850518
486,Redlands,34.06,-117.18,21.0,43,1,0.3,US,1600850679
487,Taoudenni,22.68,-3.98,37.71,13,4,2.04,ML,1600850679
488,St. George's,12.06,-61.75,27.0,88,20,2.6,GD,1600850679
489,Waingapu,-9.66,120.26,30.55,51,23,6.04,ID,1600850679
490,Bakel,14.9,-12.46,28.8,68,14,4.87,SN,1600850679
491,Morros,-9.45,-46.3,21.17,84,75,1.48,BR,1600850679
492,Bhadrāchalam,17.67,80.88,30.24,76,90,4.07,IN,1600850680
493,Shirgaon,19.7,72.7,26.0,100,90,2.6,IN,1600850680
494,Nizwá,22.93,57.53,38.9,7,0,2.68,OM,1600850680
495,Maceió,-9.67,-35.74,20.0,100,20,1.0,BR,1600850680
496,Mali,12.08,-12.3,26.0,94,40,3.1,GN,1600850680
497,Pontianak,-0.03,109.33,28.77,80,100,2.6,ID,1600850681
498,El Retorno,2.33,-72.63,22.46,90,28,0.92,CO,1600850681
499,Marawi,8.0,124.29,29.44,78,100,0.45,PH,1600850681
500,Mahon,39.89,4.27,25.0,73,20,4.1,ES,1600850681
501,Guerrero Negro,27.98,-114.06,23.13,68,0,3.57,MX,1600850681
502,Port Hawkesbury,45.62,-61.35,18.0,93,90,9.3,CA,1600850426
503,Touros,-5.2,-35.46,21.0,94,40,2.1,BR,1600850682
504,Tual,-5.67,132.75,27.0,80,100,5.65,ID,1600850682
505,Mulanje,-16.03,35.5,24.66,51,89,4.4,MW,1600850682
506,Batagay,67.63,134.63,6.13,65,86,0.51,RU,1600850682
507,Dhidhdhoo,6.88,73.1,28.05,77,76,6.68,MV,1600850682
508,Mayumba,-3.43,10.66,25.25,80,99,2.82,GA,1600850682
509,Praia da Vitória,38.73,-27.07,19.0,82,75,12.62,PT,1600850683
510,Thunder Bay,48.4,-89.32,9.44,100,5,1.5,CA,1600850683
511,Belmonte,-15.86,-38.88,23.0,88,75,1.0,BR,1600850683
512,Eirunepé,-6.66,-69.87,21.69,97,66,0.96,BR,1600850683
513,Encantado,-29.24,-51.87,9.44,95,60,0.45,BR,1600850683
514,Barreiras,-12.15,-44.99,21.7,48,77,1.19,BR,1600850684
515,Narsaq,60.92,-46.05,0.0,78,0,4.6,GL,1600850684
516,Manaquiri,-3.32,-60.35,26.0,88,75,2.1,BR,1600850684
517,Mehamn,71.04,27.85,7.0,70,56,8.7,NO,1600850684
518,Gaya,24.78,85.0,30.0,79,40,4.1,IN,1600850684
519,Xiongzhou,25.12,114.3,22.59,83,99,2.16,CN,1600850684
520,Caranavi,-15.82,-67.55,15.52,89,46,0.88,BO,1600850685
521,San Cristobal,7.77,-72.22,19.04,76,100,0.81,VE,1600850685
522,Qaqortoq,60.72,-46.03,0.0,80,0,4.6,GL,1600850685
523,Tadine,-21.55,167.88,20.61,78,0,5.13,NC,1600850685
524,Assiut,27.18,31.18,30.0,40,0,4.6,EG,1600850685
525,Belaya Gora,68.53,146.42,6.06,76,39,3.55,RU,1600850686
526,Hauterive,46.09,3.45,19.0,63,2,4.6,FR,1600850686
527,Sault Ste. Marie,46.52,-84.33,8.0,93,90,1.08,CA,1600850507
528,Chimbote,-9.09,-78.58,15.19,91,27,1.88,PE,1600850673
529,Gazli,40.13,63.45,24.56,17,0,5.51,UZ,1600850686
530,Ponta Delgada,37.73,-25.67,18.0,93,75,1.5,PT,1600850686
531,Sturgis,41.8,-85.42,11.67,93,1,2.79,US,1600850687
532,Broken Hill,-31.95,141.43,17.0,29,40,7.7,AU,1600850687
533,Alofi,-19.06,-169.92,20.0,100,100,1.5,NU,1600850687
534,Anuradhapura,8.36,80.42,31.53,54,99,7.11,LK,1600850687
535,Inhambane,-23.86,35.38,25.0,53,40,4.1,MZ,1600850687
536,Villaviciosa,43.48,-5.44,22.22,64,94,1.75,ES,1600850687
537,Amga,60.9,131.96,8.95,57,0,1.59,RU,1600850688
538,Behbahān,30.6,50.24,45.0,9,0,7.2,IR,1600850688
539,Kirakira,-10.45,161.92,26.34,82,100,4.05,SB,1600850688
540,Nyanguge,-2.55,33.2,27.0,44,20,5.7,TZ,1600850688
541,Namwala,-15.75,26.44,27.87,31,0,4.76,ZM,1600850688
542,Korla,41.76,86.15,26.61,16,31,6.01,CN,1600850688
543,Sørland,67.67,12.69,7.15,94,100,10.52,NO,1600850689
544,Nur-Sultan,51.18,71.45,8.0,81,90,12.0,KZ,1600850689
545,Bangassou,4.74,22.82,26.49,90,84,1.55,CF,1600850689
546,Camaná,-16.62,-72.71,14.98,79,31,2.58,PE,1600850689
547,Williston,48.15,-103.62,15.56,58,100,3.58,US,1600850689
548,Latung,5.5,120.88,29.63,64,0,1.49,PH,1600850689
549,Okha,53.57,142.95,9.11,81,0,1.66,RU,1600850690
550,La Libertad,-2.23,-80.9,19.87,85,100,3.15,EC,1600850690
551,Bilibino,68.05,166.44,0.22,96,99,1.49,RU,1600850690
552,Cody,44.53,-109.06,13.33,54,1,3.68,US,1600850690
553,Kasongo,-4.45,26.67,29.38,54,98,0.66,CD,1600850690
554,Lufkin,31.34,-94.73,21.0,88,90,3.6,US,1600850691
